"","modl","CN_coupled","Veg_Demo","R_cveg_median","R_cveg_IQR","R_cveg_ag_median","R_cveg_ag_IQR","R_npp_median","R_npp_IQR","R_gpp_median","R_gpp_IQR","R_cleaf_median","R_cleaf_IQR","R_cveg_star_median","R_cveg_star_IQR","R_croot_median","R_croot_IQR","l_npp_gpp_median","l_npp_gpp_IQR","l_croot_cveg_median","l_croot_cveg_IQR","l_croot_cveg_star_median","l_croot_cveg_star_IQR","l_cveg_star_npp_median","l_cveg_star_npp_IQR","l_cleaf_cveg_median","l_cleaf_cveg_IQR"
"11","ISBA-CTRIP","No","Yes",0.232061726384765,0.091553324433587,0.203795479566002,0.107768290003614,0.392626773466722,0.21446756686606,0.390009795170232,0.198421817501664,0.122604686508405,0.0824660080321512,0.274905040745661,0.116988281024427,0.232013986949133,0.100243969287431,0.986039636923035,0.103947919550812,0.95763431118172,0.323993230804033,0.811136039591306,0.338249371606498,0.727694033858225,0.455820565927813,0.55618274188109,0.301077578933509
"12","CABLE-POP","Yes","Yes",0.352245302629404,0.362327823886621,0.371882528129426,0.361822003894885,0.281037005731636,0.328061103666339,0.308366151240289,0.257298288876224,0.273399561856541,0.267664964316164,0.392137693999675,0.428718811458553,0.358875101367221,0.382409823519225,1.00235145211996,0.401989121820286,1,0.0242135594736516,0.882895470333667,0.190510960074852,1.19543123233801,0.706980825544926,0.749338000286385,0.396602730012633
"13","CLM5.0","Yes","No",0.242683735330905,0.219142694120449,0.244950641878188,0.291021405886546,0.254503505977769,0.241771376924562,0.26539341607224,0.208825284003228,0.365779436659664,0.378707808427869,0.292447342114382,0.245516647429013,0.247908880225451,0.270096317871243,0.952110117378706,0.380183650300693,1.02162474663893,0.239291043379104,0.809458424373076,0.298345597865486,1.02118621563554,0.852006241091843,1.6098642935701,1.12107446392998
"14","DLEM","Yes","No",0.272835788853899,0.164892417265811,NA,NA,0.285391917966882,0.176413899520693,0.288159033544683,0.189399139172153,NA,NA,0.299668946386386,0.174587157429962,NA,NA,0.983654496526056,0.0848716193330361,NA,NA,NA,NA,1.07901630807701,0.276609275028006,NA,NA
"15","ISAM","Yes","No",0.242276770816691,0.182337336746209,NA,NA,0.314500954860332,0.180260867533394,0.308136052721726,0.152280767159891,NA,NA,0.29146535402006,0.177865603997431,0.308092243503715,0.171849374096621,1.01391403827287,0.110130832007258,1.19046515421381,0.263137992129226,1.02701521990149,0.281136019156513,0.94325845990544,0.301274608005584,NA,NA
"16","JSBACH","Yes","No",0.345289973411219,0.357236367532736,NA,NA,0.375346236942633,0.415745307915486,0.292166543113511,0.238210054758061,NA,NA,0.384136374412152,0.372911903428414,NA,NA,1.3011672115127,0.421207331497245,NA,NA,NA,NA,0.917119305785356,0.988467999834042,NA,NA
"17","JULES","Yes","No",0.154277366414487,0.262206789133989,0.150079342071141,0.266345304838991,0.253945947337044,0.247558011301903,0.246801127057589,0.287893894186199,0.0934323578611239,0.193960115200412,0.168427135668128,0.27402399673672,0.0934323635746025,0.193960084153641,0.986400163176377,0.351292662200659,0.751493143948404,0.43417260865959,0.685193652095511,0.489625820128027,0.599948381966888,0.585500973185813,0.751492885141581,0.434172860076386
"18","LPJ-GUESS","Yes","Yes",0.230970417086724,0.348864876168167,0.25626318121594,0.462157176216178,0.248300194776456,0.29027278242737,0.246612967500296,0.274429857994945,0.189539776564745,0.259614317565126,0.239504877313595,0.360361471087862,NA,NA,1.05366563540108,0.308626531909985,NA,NA,NA,NA,0.985617430983608,1.19083452268416,0.692775834014596,0.78331677024881
"19","LPX-Bern","Yes","No",0.0959957278744858,0.160103647400732,0.0920800615165307,0.164813222383188,0.170742452102709,0.162685337450564,0.20572008366374,0.146837059495405,0.130014264234445,0.163966971593184,0.110114572056227,0.171625487407639,0.111122326330639,0.142337263729411,0.900023131958691,0.346348402890566,1.02594041676507,1.04620187401926,0.989937130648598,0.991034511861272,0.614108103931964,0.712676513217759,1.18107780060537,1.20770229215926
"20","VISIT-NIES","No","No",0.214672918932839,0.290518857578028,0.187658390095886,0.287434832871079,0.237532157352175,0.34578422660104,0.221822706365997,0.314076648070338,0.171901529249916,0.270995727371878,0.243090283466568,0.346337863607491,0.251918340231723,0.392876367909002,1.0588205291841,0.133331872945871,1.16787448136303,0.423539836758645,1.04920914794709,0.388805533626326,0.90852404809587,0.489808755988358,0.940890619087732,0.616608418316428
"21","SDGVM","Yes","Yes",0.170797971139826,0.07553313457862,NA,NA,0.123659231542267,0.0604466200488697,0.12762688331518,0.0738682937697938,NA,NA,0.192494583686163,0.0804177572938246,0.171867680713172,0.0853729613710413,1.00811687978597,0.219891041285693,0.995575687583788,0.0754686314196823,0.879820677834341,0.269416526590516,1.53729537814635,0.573418212680304,NA,NA
